IDKhachHang,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
2155-AMQRX,Nu,0,Khong,Khong,28,Co,Co,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Co,the tin dung,54.9,1505.15,Khong
6181-AXXYF,Nam,0,Co,Co,72,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,24.75,1859.1,Khong
5091-HFAZW,Nu,0,Khong,Khong,2,Co,Khong,Cap quang,Co,Co,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,91.15,168.5,Khong
0516-VRYBW,Nu,0,Khong,Co,18,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,chuyen khoang ngan hang,20.15,390.85,Co
2519-LBNQL,Nam,1,Co,Khong,60,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hang nam,Co,Sec dien tu,104.35,6339.45,Khong
8623-ULFNQ,Nu,1,Khong,Khong,26,Co,Co,DSL,Khong,Khong,Khong,Co,Khong,Co,hang thang,Co,Sec dien tu,66.05,1652.4,Khong
8380-PEFPE,Nam,0,Khong,Co,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,71.65,71.65,Co
5687-DKDTV,Nu,0,Khong,Khong,4,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.35,77.5,Co
1568-LJSZU,Nam,0,Co,Co,68,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Co,the tin dung,92.2,6392.85,Khong
7530-HDYDS,Nu,0,Khong,Khong,38,Co,Khong,Cap quang,Khong,Co,Co,Co,Khong,Khong,hang thang,Co,the tin dung,84.25,3264.5,Co
7789-HKSBS,Nu,1,Co,Khong,42,Co,Co,Cap quang,Co,Khong,Co,Khong,Co,Co,hang nam,Co,chuyen khoang ngan hang,105.2,4599.15,Khong
7416-CKTEP,Nu,0,Co,Khong,57,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,chuyen khoang ngan hang,19.6,1134.25,Khong
2586-CWXVV,Nam,0,Co,Khong,54,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,30.4,1621.35,Khong
3096-IZETN,Nu,0,Khong,Khong,12,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Khong,chuyen khoang ngan hang,78.1,947.3,Co
2348-KCJLT,Nu,0,Co,Khong,44,Co,Khong,DSL,Co,Co,Co,Khong,Khong,Khong,hang nam,Co,Sec buu dien,61.5,2722.2,Khong
8401-EMUWF,Nam,0,Co,Co,42,Co,Co,DSL,Co,Co,Khong,Khong,Co,Khong,hang thang,Co,chuyen khoang ngan hang,69.4,3058.3,Khong
4193-IBKSW,Nam,0,Co,Co,72,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,24.75,1769.6,Khong
5377-NDTOU,Nu,0,Co,Co,71,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Khong,Sec buu dien,91.05,6293.75,Khong
5922-ABDVO,Nu,0,Co,Khong,19,Co,Co,Cap quang,Khong,Khong,Co,Khong,Khong,Co,hang thang,Khong,Sec buu dien,89.65,1761.05,Co
2474-LCNUE,Nu,0,Co,Khong,23,Co,Co,DSL,Khong,Khong,Khong,Co,Co,Co,hang thang,Co,the tin dung,73.65,1642.75,Khong
0839-QNXME,Nu,0,Khong,Khong,30,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.4,578.5,Khong
3506-OVLKD,Nam,0,Khong,Khong,35,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,chuyen khoang ngan hang,26.2,954.9,Khong
9172-ANCRX,Nu,0,Khong,Khong,10,Co,Co,Cap quang,Co,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,98.7,973.25,Co
6650-VJONK,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,43.85,43.85,Khong
2178-PMGCJ,Nam,0,Khong,Khong,22,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,69.7,1490.4,Khong
7492-TAFJD,Nam,0,Co,Co,7,Khong,khong co dich vu dien thoai,DSL,Co,Co,Co,Khong,Khong,Khong,hai nam,Khong,Sec buu dien,38.55,280,Khong
2773-MADBQ,Nu,0,Khong,Khong,36,Khong,khong co dich vu dien thoai,DSL,Co,Co,Co,Co,Khong,Co,hai nam,Co,Sec buu dien,53.1,1901.25,Khong
6016-LVTJQ,Nu,0,Co,Co,34,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.65,716.4,Khong
7860-KSUGX,Nam,0,Co,Co,72,Co,Co,DSL,Co,Co,Co,Khong,Khong,Khong,hai nam,Khong,the tin dung,64.45,4720,Khong
8966-KZXXA,Nam,0,Co,Co,36,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,25.1,930.95,Khong
6910-HADCM,Nu,0,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,76.35,76.35,Co
4816-LXZYW,Nu,0,Khong,Khong,23,Co,Co,Cap quang,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,79.15,1676.95,Co
9606-PBKBQ,Nam,1,Co,Khong,32,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,85,2642.05,Co
5149-QYTTU,Nu,0,Co,Co,71,Co,Co,Cap quang,Co,Co,Co,Co,Khong,Khong,hang nam,Co,the tin dung,95.15,6770.85,Khong
2070-XYMFH,Nu,1,Khong,Khong,23,Co,Co,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,Sec buu dien,79.35,1835.3,Khong
2085-BOJKI,Nam,0,Co,Khong,17,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang nam,Co,chuyen khoang ngan hang,96.65,1588.25,Khong
0817-HSUSE,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Co,Co,Co,Co,hang thang,Co,Sec dien tu,75.5,75.5,Khong
5442-PPTJY,Nam,0,Co,Co,12,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,19.7,258.35,Khong
1927-QEWMY,Nu,0,Co,Khong,72,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,20.5,1502.25,Khong
1663-MHLHE,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,19.2,19.2,Khong
5663-QBGIS,Nam,1,Co,Khong,72,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hai nam,Khong,chuyen khoang ngan hang,98.35,6929.4,Khong
4450-MDZFX,Nam,0,Co,Co,60,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,chuyen khoang ngan hang,74.35,4453.3,Khong
6701-DHKWQ,Nu,0,Co,Co,61,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Co,Co,Khong,hai nam,Khong,the tin dung,51.35,3244.4,Khong
7554-AKDQF,Nu,0,Co,Khong,6,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,45.65,323.45,Khong
3536-IQCTX,Nam,1,Co,Khong,32,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Khong,Sec dien tu,85.3,2661.1,Co
4911-BANWH,Nu,0,Khong,Co,31,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,the tin dung,86.55,2697.4,Co
8496-EJAUI,Nam,0,Khong,Khong,19,Co,Khong,Cap quang,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,the tin dung,73.85,1424.5,Co
0794-YVSGE,Nam,0,Co,Co,72,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,20.3,1401.15,Khong
5423-BHIXO,Nu,0,Khong,Khong,32,Co,Co,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,54.2,1739.6,Khong
6908-VVYHM,Nam,0,Co,Khong,65,Co,Co,Cap quang,Khong,Co,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,90.65,5931,Khong
2959-EEXWB,Nu,0,Co,Co,45,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Khong,Co,Co,hang thang,Co,chuyen khoang ngan hang,50.9,2333.85,Khong
1839-UMACK,Nam,0,Khong,Khong,42,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec dien tu,25.05,949.85,Khong
3030-YDNRM,Nam,0,Khong,Khong,8,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,74.85,572.45,Khong
7321-KKSDU,Nam,0,Khong,Co,32,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,20.5,696.8,Khong
3402-XRIUO,Nu,1,Co,Khong,22,Co,Co,DSL,Co,Co,Khong,Co,Khong,Khong,hang thang,Co,Sec buu dien,63.55,1381.8,Khong
3132-TVFDZ,Nam,1,Co,Khong,57,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,44.85,2572.95,Co
8286-AFUYI,Nam,0,Khong,Khong,1,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,47.95,47.95,Khong
8080-DDEMJ,Nam,1,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,45.1,45.1,Co
8356-WUAOJ,Nu,0,Co,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,45,45,Khong
6365-MTGZX,Nam,0,Khong,Khong,24,Co,Khong,Cap quang,Khong,Khong,Khong,Co,Co,Co,hang thang,Co,Sec dien tu,96,2122.45,Co
1349-WXNGG,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,chuyen khoang ngan hang,20.05,20.05,Co
8058-DMYRU,Nam,1,Khong,Khong,54,Co,Co,Cap quang,Khong,Co,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,90.05,4931.8,Khong
9350-ZXYJC,Nu,0,Khong,Khong,4,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,the tin dung,25.3,116.95,Khong
6990-YNRIO,Nam,0,Co,Co,65,Co,Co,Cap quang,Co,Khong,Co,Co,Co,Co,hai nam,Khong,chuyen khoang ngan hang,108.65,6937.95,Co
8958-JPTRR,Nu,0,Co,Khong,56,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec dien tu,24.3,1261.7,Khong
6959-GQEGV,Nam,0,Khong,Khong,45,Co,Khong,DSL,Co,Khong,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,75.95,3273.8,Khong
3173-WSSUE,Nu,0,Co,Co,71,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.7,1415.85,Khong
1265-HVPZB,Nam,0,Co,Khong,59,Co,Khong,DSL,Co,Co,Co,Khong,Co,Khong,hang nam,Khong,the tin dung,66.4,3958.2,Khong
4115-UMJFQ,Nam,0,Khong,Khong,69,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Khong,Khong,Khong,hang nam,Co,chuyen khoang ngan hang,35.75,2492.25,Khong
7369-TRPFD,Nam,0,Khong,Khong,19,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,18.8,279.2,Khong
1098-KFQEC,Nu,0,Co,Co,55,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.4,1083,Khong
7190-XHTWJ,Nu,0,Khong,Khong,38,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,19.3,755.5,Khong
0621-TWIEM,Nam,0,Khong,Khong,10,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,45.55,402.6,Co
3537-RYBHH,Nu,1,Co,Khong,47,Co,Co,DSL,Co,Co,Co,Khong,Khong,Khong,hang thang,Co,the tin dung,67.45,3252,Khong
2485-ITVKB,Nu,0,Co,Khong,2,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,35.1,68.75,Co
3669-OYSJI,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,the tin dung,46.2,46.2,Co
1612-EOHDH,Nu,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,45.15,45.15,Co
6702-OHFWR,Nam,1,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Khong,Khong,Co,hang thang,Co,Sec dien tu,43.3,43.3,Co
5296-BFCYD,Nam,0,Co,Co,46,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,Sec buu dien,20.1,936.85,Khong
4510-PYUSH,Nu,1,Khong,Khong,38,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang thang,Co,the tin dung,57.15,2250.65,Co
9359-JANWS,Nu,0,Co,Khong,65,Co,Khong,DSL,Co,Khong,Co,Co,Khong,Khong,hai nam,Khong,the tin dung,58.9,3857.1,Khong
7517-SAWMO,Nu,0,Co,Khong,19,Co,Khong,Cap quang,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,73.2,1441.1,Co
4143-HHPMK,Nam,0,Khong,Khong,52,Co,Khong,Cap quang,Khong,Co,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,85.35,4338.6,Co
3279-DYZQM,Nam,0,Co,Co,71,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,19.45,1378.45,Khong
7054-LGEQW,Nu,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,45.95,45.95,Co
0523-VNGTF,Nu,1,Khong,Khong,52,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Co,Co,Khong,hang thang,Co,Sec dien tu,50.5,2566.3,Khong
9575-IWCAZ,Nam,0,Co,Khong,6,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,25.1,171,Khong
7105-MXJLL,Nu,1,Co,Khong,26,Co,Khong,DSL,Khong,Khong,Co,Khong,Khong,Co,hang nam,Khong,Sec buu dien,60.7,1597.4,Khong
7064-FRRSW,Nam,1,Khong,Khong,48,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang nam,Co,Sec dien tu,99,4744.35,Khong
7940-UQQUG,Nu,0,Co,Co,64,Co,Co,Cap quang,Co,Khong,Khong,Co,Co,Co,hang nam,Co,chuyen khoang ngan hang,104.4,6721.6,Khong
0923-PNFUB,Nu,0,Khong,Khong,3,Co,Khong,Cap quang,Khong,Co,Khong,Khong,Co,Khong,hang thang,Khong,Sec dien tu,83.75,247.25,Co
3961-SXAXY,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,44.05,44.05,Khong
7010-BRBUU,Nam,0,Co,Co,72,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,24.1,1734.65,Khong
3566-HJGPK,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,45.55,45.55,Khong
3062-ICYZQ,Nu,0,Co,Co,51,Co,Co,Cap quang,Co,Co,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,93.8,4539.35,Khong
9938-PRCVK,Nu,0,Co,Co,41,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,19.7,804.25,Khong
0973-KYVNF,Nu,0,Co,Co,72,Co,Khong,DSL,Co,Co,Co,Khong,Co,Khong,hai nam,Co,the tin dung,70.65,5011.15,Khong
5129-HHMZC,Nu,0,Co,Khong,43,Co,Co,DSL,Co,Co,Khong,Co,Co,Co,hai nam,Khong,the tin dung,86.45,3574.5,Khong
9637-CDTKZ,Nam,0,Co,Khong,72,Co,Co,Cap quang,Co,Co,Co,Co,Co,Co,hai nam,Co,the tin dung,114.1,8086.4,Khong
3946-JEWRQ,Nam,0,Co,Khong,47,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang nam,Co,the tin dung,95.2,4563,Khong
7873-CVMAW,Nam,0,Khong,Khong,72,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Khong,the tin dung,88.55,6362.35,Khong
0463-WZZKO,Nam,0,Khong,Khong,3,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Co,the tin dung,20.75,67.1,Khong
3494-JCHRQ,Nam,0,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,70.05,70.05,Co
6474-FVJLC,Nam,0,Khong,Khong,2,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,86,165.45,Co
4524-QCSSM,Nam,0,Khong,Khong,26,Khong,khong co dich vu dien thoai,DSL,Co,Co,Khong,Khong,Khong,Co,hang thang,Co,chuyen khoang ngan hang,44.65,1156.55,Khong
5832-EXGTT,Nam,0,Co,Co,29,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec buu dien,60.2,1834.15,Khong
8840-DQLGN,Nu,1,Co,Khong,35,Co,Co,Cap quang,Co,Co,Khong,Co,Co,Khong,hang thang,Co,chuyen khoang ngan hang,100.5,3653.35,Co
2039-JONDJ,Nam,0,Khong,Khong,27,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,55.45,1477.65,Khong
7217-JYHOQ,Nam,0,Co,Co,24,Co,Khong,DSL,Co,Co,Khong,Co,Khong,Co,hang thang,Co,the tin dung,70.3,1706.45,Khong
6695-FRVEC,Nam,0,Co,Co,67,Co,Khong,DSL,Co,Khong,Co,Co,Khong,Khong,hai nam,Co,chuyen khoang ngan hang,60.4,3953.7,Khong
4547-LYTDD,Nu,0,Khong,Khong,16,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,72.65,1194.3,Co
9894-QMIMJ,Nu,0,Khong,Khong,23,Co,Khong,DSL,Khong,Co,Co,Khong,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,55.8,1327.85,Khong
8069-YQQAJ,Nam,0,Khong,Khong,14,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,31.1,419.7,Khong
6770-XUAGN,Nu,0,Co,Co,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Co,Sec dien tu,21,21,Co
4193-ORFCL,Nu,1,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,45.1,45.1,Co
1636-NTNCO,Nam,1,Khong,Khong,4,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,the tin dung,50.95,207.35,Khong
3466-WAESX,Nam,0,Khong,Co,16,Co,Co,DSL,Co,Co,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,69.1,1083.7,Khong
9281-PKKZE,Nu,0,Co,Khong,46,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,43.95,2007.85,Khong
3638-VBZTA,Nam,0,Khong,Co,68,Co,Co,DSL,Co,Co,Khong,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,86.5,5882.75,Khong
7459-IMVYU,Nam,0,Khong,Khong,38,Co,Co,DSL,Co,Co,Co,Co,Khong,Khong,hang thang,Khong,Sec dien tu,69.95,2657.55,Khong
7776-QWNFX,Nam,1,Co,Khong,30,Co,Khong,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,50.4,1527.5,Co
6689-TCZHQ,Nu,1,Khong,Khong,5,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Khong,Sec dien tu,78.95,378.4,Co
8563-OYMQY,Nam,0,Khong,Khong,17,Co,Khong,Cap quang,Khong,Co,Co,Khong,Khong,Co,hang thang,Co,the tin dung,90.95,1612.2,Khong
0754-EEBDC,Nam,0,Co,Co,4,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,19.9,76.65,Khong
5777-ZPQNC,Nu,0,Khong,Khong,12,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec dien tu,20.15,260.7,Khong
1951-IEYXM,Nam,0,Co,Co,72,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Co,the tin dung,90.6,6441.85,Khong
3318-NMQXL,Nam,0,Khong,Khong,3,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,92,266.8,Khong
3143-ILDAL,Nam,0,Khong,Khong,56,Co,Co,Cap quang,Khong,Co,Khong,Co,Khong,Co,hang thang,Co,Sec dien tu,94.45,5124.6,Co
1022-RKXDR,Nu,0,Khong,Khong,41,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Co,Sec buu dien,24.85,962.25,Khong
2361-FJWNO,Nam,0,Khong,Khong,40,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Co,Khong,Khong,hang nam,Khong,the tin dung,36,1382.9,Khong
2272-UOINI,Nu,0,Khong,Khong,7,Co,Khong,DSL,Co,Co,Khong,Co,Co,Co,hang thang,Co,Sec dien tu,78.5,571.05,Khong
8232-UTFOZ,Nam,0,Khong,Khong,69,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.95,1399.35,Khong
3750-YHRYO,Nam,0,Co,Co,7,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.65,150,Khong
6637-KYRCV,Nu,0,Co,Co,5,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,30.5,167.2,Khong
5668-MEISB,Nu,0,Co,Co,72,Co,Co,Cap quang,Co,Co,Co,Co,Co,Khong,hai nam,Khong,the tin dung,106.1,7657.4,Khong
0129-QMPDR,Nam,0,Co,Co,44,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Co,chuyen khoang ngan hang,20.5,865.05,Khong
7188-CBBBA,Nu,0,Khong,Khong,65,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Khong,hang nam,Co,Sec dien tu,95.5,6153.85,Khong
5356-CSVSQ,Nu,0,Khong,Khong,3,Co,Co,DSL,Khong,Khong,Khong,Co,Co,Khong,hang thang,Khong,Sec dien tu,64.6,174.2,Khong
3221-CJMSG,Nam,0,Khong,Khong,24,Co,Khong,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Co,the tin dung,51.1,1269.6,Khong
4720-VSTSI,Nu,0,Khong,Khong,44,Co,Co,Cap quang,Khong,Co,Co,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,84.8,3862.55,Co
3219-JQRSL,Nu,1,Co,Khong,72,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Khong,the tin dung,89.1,6352.4,Khong
2801-NISEI,Nam,0,Khong,Khong,24,Co,Khong,DSL,Co,Khong,Khong,Co,Khong,Khong,hang thang,Khong,Sec dien tu,54.95,1348.5,Khong
3946-MHCZW,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,50.9,50.9,Co
4623-ZKHLY,Nam,0,Co,Khong,22,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Co,chuyen khoang ngan hang,20.45,471.55,Khong
